Date,Number_of_Vehicles,Vehicle_Speed,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Chainage(km),Accident_Severity,No_of_accidents
01-01-2017,1,90,1,1,1,7,1,2
01-01-2017,1,90,1,1,2,17,3,1
01-01-2017,1,90,4,2,2,43,3,1
01-01-2017,1,40,4,2,2,45,3,1
01-01-2017,1,60,1,1,2,39,2,1
01-01-2017,1,60,6,1,1,11,3,1
01-01-2017,1,90,1,1,2,12,3,1
01-01-2017,1,90,4,2,2,2,3,1
01-01-2017,1,90,4,9,1,44,2,1
01-01-2017,1,20,4,1,2,18,2,2
01-01-2017,1,90,4,2,2,43,3,1
01-01-2017,1,90,6,1,2,33,3,1
01-01-2017,1,90,7,1,2,12,3,1
01-01-2017,1,50,4,2,2,12,2,2
01-01-2017,1,70,1,2,2,34,3,1
01-01-2017,1,70,4,1,2,28,3,2
01-01-2017,1,70,4,2,2,34,3,2
01-01-2017,1,70,6,2,2,43,3,4
01-01-2017,1,70,6,6,4,48,3,1
01-01-2017,1,20,1,1,1,49,3,1
01-01-2017,1,20,4,1,1,45,3,1
01-01-2017,1,20,4,1,2,8,3,1
01-01-2017,1,20,4,2,2,9,3,1
01-01-2017,1,90,1,1,1,29,3,4
01-01-2017,1,90,1,1,2,50,3,2
01-01-2017,1,90,1,2,2,39,3,1
01-01-2017,1,90,1,5,2,44,3,1
01-01-2017,1,90,1,8,1,34,3,1
01-01-2017,1,90,1,8,2,8,3,1
01-01-2017,1,90,1,8,4,47,3,1
01-01-2017,1,90,1,9,2,30,3,1
01-01-2017,1,90,4,1,1,38,3,5
01-01-2017,1,90,4,1,2,23,2,16
01-01-2017,1,90,4,1,4,31,3,1
01-01-2017,1,90,4,2,2,6,3,8
01-01-2017,1,90,4,5,2,21,3,1
01-01-2017,1,90,4,8,2,30,3,1
01-01-2017,1,90,4,9,1,15,3,1
01-01-2017,1,90,4,9,2,48,3,1
01-01-2017,1,90,5,2,2,40,3,1
01-01-2017,1,90,6,2,2,6,3,1
01-01-2017,1,90,7,1,1,17,3,2
01-01-2017,1,90,7,1,2,40,3,1
01-01-2017,1,40,1,2,2,30,3,1
01-01-2017,1,40,4,1,2,24,3,1
01-01-2017,1,40,6,5,2,45,3,1
01-01-2017,1,50,1,1,2,1,3,2
01-01-2017,1,60,1,1,2,20,3,1
01-01-2017,1,60,5,1,1,6,2,1
01-01-2017,1,60,6,1,2,50,3,4
01-01-2017,1,60,6,1,4,18,3,1
01-01-2017,1,60,6,2,2,28,3,4
01-01-2017,1,60,6,7,2,16,3,1
01-01-2017,1,60,6,8,4,14,3,2
01-01-2017,1,60,6,9,2,17,3,1
01-01-2017,1,70,4,1,2,8,3,1
01-01-2017,1,90,1,2,2,29,3,1
01-01-2017,1,90,1,9,-1,26,3,1
01-01-2017,1,90,7,1,1,32,2,1
01-01-2017,2,90,1,2,2,45,3,3
01-01-2017,2,90,1,9,-1,33,3,1
01-01-2017,2,90,1,9,2,18,3,1
01-01-2017,2,90,4,1,1,25,3,1
01-01-2017,2,90,4,1,2,25,3,1
01-01-2017,2,90,4,2,2,28,2,4
01-01-2017,2,40,1,1,1,35,3,2
01-01-2017,2,20,4,1,2,21,3,1
01-01-2017,2,20,4,2,2,7,2,1
01-01-2017,2,90,1,1,1,46,3,1
01-01-2017,2,90,1,2,2,12,3,2
01-01-2017,2,90,4,2,2,37,2,3
01-01-2017,2,40,1,8,1,10,3,1
01-01-2017,2,40,4,1,2,38,3,2
01-01-2017,2,40,4,2,2,5,2,1
01-01-2017,2,50,4,1,1,9,3,1
01-01-2017,2,50,4,1,2,42,3,1
01-01-2017,2,70,1,1,1,47,3,1
01-01-2017,2,70,1,1,2,38,3,1
01-01-2017,2,70,1,2,2,38,3,1
01-01-2017,2,70,4,1,2,11,3,1
01-01-2017,2,70,4,2,2,8,3,1
01-01-2017,2,20,4,1,1,36,3,1
01-01-2017,2,20,4,2,2,41,3,1
01-01-2017,2,90,1,1,1,18,3,9
01-01-2017,2,90,1,1,2,46,3,5
01-01-2017,2,90,1,2,2,3,3,9
01-01-2017,2,90,4,1,1,37,3,6
01-01-2017,2,90,4,1,2,34,3,9
01-01-2017,2,90,4,2,2,29,3,21
01-01-2017,2,90,4,3,2,16,2,1
01-01-2017,2,90,4,9,-1,34,2,2
01-01-2017,2,90,6,2,2,25,3,1
01-01-2017,2,90,7,1,1,22,3,1
01-01-2017,2,40,1,1,1,8,3,1
01-01-2017,2,40,1,1,2,39,3,1
01-01-2017,2,40,1,2,2,7,3,1
01-01-2017,2,40,4,1,1,6,2,2
01-01-2017,2,40,6,1,1,7,3,1
01-01-2017,2,50,6,1,2,47,3,1
01-01-2017,2,60,1,1,1,35,3,1
01-01-2017,2,60,1,2,2,6,3,3
01-01-2017,2,60,1,5,2,1,3,1
01-01-2017,2,60,6,1,2,14,3,2
01-01-2017,2,60,6,5,2,42,2,1
01-01-2017,2,20,7,9,-1,49,2,1
01-01-2017,3,90,1,2,2,2,3,1
01-01-2017,3,70,6,1,1,10,3,2
01-01-2017,3,20,4,2,2,45,3,1
01-01-2017,3,90,1,1,1,49,3,3
01-01-2017,3,90,1,2,2,41,3,2
01-01-2017,3,90,4,1,1,47,2,5
01-01-2017,3,90,4,1,2,18,3,2
01-01-2017,3,90,4,1,4,42,3,1
01-01-2017,3,90,4,2,2,23,3,2
01-01-2017,3,60,6,2,2,1,3,1
01-01-2017,4,90,4,2,2,40,3,1
01-01-2017,7,70,6,3,3,17,3,1
01-02-2017,1,90,4,2,2,27,3,1
01-02-2017,1,90,7,2,2,17,3,1
01-02-2017,1,60,1,1,2,27,3,1
01-02-2017,1,90,1,1,1,7,3,4
01-02-2017,1,90,4,1,1,38,3,1
01-02-2017,1,90,4,8,2,35,3,1
01-02-2017,1,90,1,1,1,24,3,2
01-02-2017,1,90,1,2,2,14,3,1
01-02-2017,1,90,1,8,2,40,2,1
01-02-2017,1,90,4,2,2,32,3,1
01-02-2017,1,40,1,2,2,21,3,1
01-02-2017,1,40,4,1,2,30,3,1
01-02-2017,1,70,1,2,2,36,3,2
01-02-2017,1,20,1,1,1,13,2,1
01-02-2017,1,20,1,1,2,14,3,1
01-02-2017,1,20,1,2,2,28,3,1
01-02-2017,1,20,1,7,2,29,3,1
01-02-2017,1,20,4,1,2,12,3,1
01-02-2017,1,20,4,2,2,44,3,1
01-02-2017,1,20,4,4,2,49,3,1
01-02-2017,1,90,1,1,1,27,3,17
01-02-2017,1,90,1,1,2,38,3,7
01-02-2017,1,90,1,2,2,36,3,7
01-02-2017,1,90,1,8,1,41,3,1
01-02-2017,1,90,1,8,2,28,3,2
01-02-2017,1,90,4,1,1,5,3,5
01-02-2017,1,90,4,1,2,3,2,11
01-02-2017,1,90,4,2,2,12,3,5
01-02-2017,1,90,4,3,1,8,3,1
01-02-2017,1,90,6,1,2,25,3,1
01-02-2017,1,90,6,2,2,34,2,1
01-02-2017,1,90,7,1,1,13,3,1
01-02-2017,1,90,7,9,1,46,3,1
01-02-2017,1,40,4,2,2,25,3,1
01-02-2017,1,40,4,8,2,34,3,1
01-02-2017,1,50,1,1,2,48,3,1
01-02-2017,1,50,6,1,2,49,3,1
01-02-2017,1,50,6,2,2,7,3,1
01-02-2017,1,60,1,1,1,5,3,2
01-02-2017,1,60,1,1,2,6,3,3
01-02-2017,1,60,5,2,2,42,3,1
01-02-2017,1,60,6,1,1,39,2,2
01-02-2017,1,60,6,1,2,1,2,1
01-02-2017,1,60,6,2,2,4,3,1
01-02-2017,1,60,6,4,2,35,3,1
01-02-2017,1,60,6,8,2,22,2,1
01-02-2017,1,60,4,2,2,8,3,1
01-02-2017,1,60,6,1,1,2,3,1
01-02-2017,1,90,1,2,2,8,3,1
01-02-2017,2,90,1,1,1,18,3,3
01-02-2017,2,90,1,1,2,6,3,1
01-02-2017,2,90,1,2,2,19,3,4
01-02-2017,2,90,4,1,1,1,3,2
01-02-2017,2,90,4,1,2,44,3,1
01-02-2017,2,90,4,2,2,10,2,1
01-02-2017,2,90,4,8,2,28,3,1
01-02-2017,2,90,4,9,-1,6,3,1
01-02-2017,2,90,4,9,2,38,3,1
01-02-2017,2,40,1,1,1,18,3,3
01-02-2017,2,40,7,1,2,49,3,1
01-02-2017,2,50,1,1,1,2,3,2
01-02-2017,2,50,1,2,2,13,3,1
01-02-2017,2,70,1,1,1,23,3,1
01-02-2017,2,90,1,1,1,28,3,1
01-02-2017,2,90,4,2,2,30,3,1
01-02-2017,2,90,1,1,1,38,3,2
01-02-2017,2,90,1,1,2,25,3,2
01-02-2017,2,90,1,2,2,5,3,1
01-02-2017,2,90,4,1,1,30,3,2
01-02-2017,2,40,1,2,2,13,3,1
01-02-2017,2,40,4,1,1,4,3,1
01-02-2017,2,40,4,1,2,34,3,2
01-02-2017,2,40,7,2,2,37,3,1
01-02-2017,2,50,1,1,1,38,3,1
01-02-2017,2,50,1,1,2,3,3,1
01-02-2017,2,50,1,2,2,23,2,1
01-02-2017,2,50,4,1,1,22,3,2
01-02-2017,2,50,4,2,2,24,3,2
01-02-2017,2,60,1,2,2,33,3,1
01-02-2017,2,60,4,1,2,33,3,1
01-02-2017,2,70,1,1,2,41,3,3
01-02-2017,2,70,4,1,1,2,3,3
01-02-2017,2,70,6,2,2,12,3,2
01-02-2017,2,70,6,7,1,26,3,1
01-02-2017,2,20,1,1,1,23,3,3
01-02-2017,2,20,1,1,2,16,3,1
01-02-2017,2,20,1,7,2,46,3,1
01-02-2017,2,20,4,1,1,8,3,2
01-02-2017,2,20,4,2,2,25,3,1
01-02-2017,2,90,1,1,1,15,3,22
01-02-2017,2,90,1,1,2,6,3,19
01-02-2017,2,90,1,2,2,4,3,15
01-02-2017,2,90,1,8,1,3,3,1
01-02-2017,2,90,1,8,2,40,3,3
01-02-2017,2,90,1,9,1,47,3,1
01-02-2017,2,90,4,1,1,40,3,10
01-02-2017,2,90,4,1,2,9,3,10
01-02-2017,2,90,4,2,2,3,3,10
01-02-2017,2,90,4,8,1,35,3,1
01-02-2017,2,90,4,8,2,6,3,1
01-02-2017,2,90,4,9,-1,30,3,1
01-02-2017,2,90,4,9,1,17,3,1
01-02-2017,2,90,5,1,1,43,3,1
01-02-2017,2,90,7,1,1,5,3,1
01-02-2017,2,40,1,1,1,37,3,1
01-02-2017,2,40,1,1,2,17,3,4
01-02-2017,2,40,1,2,2,42,3,2
01-02-2017,2,40,4,1,1,43,3,1
01-02-2017,2,40,7,2,1,13,3,1
01-02-2017,2,50,1,1,1,39,3,1
01-02-2017,2,50,1,2,2,19,2,1
01-02-2017,2,50,6,1,1,42,3,1
01-02-2017,2,60,1,1,1,4,3,1
01-02-2017,2,60,1,1,2,5,3,1
01-02-2017,2,60,1,2,2,25,3,5
01-02-2017,2,60,1,8,2,13,3,1
01-02-2017,2,60,6,1,1,48,3,4
01-02-2017,2,60,6,1,2,29,2,1
01-02-2017,2,60,6,2,2,6,2,1
01-02-2017,2,60,7,1,1,48,3,1
01-02-2017,2,90,1,2,2,10,3,1
01-02-2017,2,70,4,1,1,3,3,1
01-02-2017,2,90,1,9,-1,30,3,1
01-02-2017,2,90,4,1,1,46,3,1
01-02-2017,3,40,4,2,2,10,3,1
01-02-2017,3,90,1,1,1,22,3,1
01-02-2017,3,90,1,8,2,43,2,1
01-02-2017,3,50,1,1,1,44,3,1
01-02-2017,3,70,1,1,2,46,3,2
01-02-2017,3,70,1,2,2,5,3,1
01-02-2017,3,70,4,2,2,26,3,1
01-02-2017,3,70,6,2,2,23,3,2
01-02-2017,3,20,1,1,1,35,3,1
01-02-2017,3,90,1,1,1,14,3,1
01-02-2017,3,90,1,1,2,16,2,4
01-02-2017,3,90,1,2,2,49,3,3
01-02-2017,3,90,4,1,1,4,3,1
01-02-2017,3,90,4,2,2,11,2,2
01-02-2017,3,40,1,2,2,45,3,1
01-02-2017,3,50,1,1,2,12,3,1
01-02-2017,3,50,6,1,1,25,1,1
01-02-2017,3,60,1,1,1,4,2,2
01-02-2017,3,60,1,9,1,31,3,1
01-02-2017,3,60,6,1,1,34,3,1
01-02-2017,3,60,6,2,2,2,3,1
01-02-2017,3,60,7,2,2,39,2,1
01-02-2017,4,50,1,7,2,24,3,1
01-02-2017,4,50,6,1,1,48,3,1
01-02-2017,4,90,1,1,2,37,3,1
01-02-2017,4,50,1,1,2,47,3,1
01-02-2017,4,60,1,7,2,50,3,1
01-02-2017,5,50,1,1,2,9,3,1
01-03-2017,1,20,1,1,1,2,3,1
01-03-2017,1,90,4,2,2,30,3,1
01-03-2017,1,60,4,1,1,47,3,1
01-03-2017,1,20,1,1,1,26,3,1
01-03-2017,1,90,1,1,1,13,2,2
01-03-2017,1,90,4,1,1,33,3,1
01-03-2017,1,90,4,2,2,9,3,1
01-03-2017,1,90,1,1,1,49,2,2
01-03-2017,1,90,4,1,1,17,3,1
01-03-2017,1,90,4,1,2,50,3,1
01-03-2017,1,90,4,2,2,9,3,4
01-03-2017,1,90,4,5,2,46,3,1
01-03-2017,1,40,1,1,1,45,3,1
01-03-2017,1,40,1,1,2,23,2,2
01-03-2017,1,70,1,1,1,27,3,1
01-03-2017,1,70,6,1,2,34,2,1
01-03-2017,1,70,6,2,2,20,3,1
01-03-2017,1,70,6,5,2,49,3,1
01-03-2017,1,20,1,1,1,14,3,4
01-03-2017,1,20,4,1,1,15,3,1
01-03-2017,1,20,4,2,2,48,3,1
01-03-2017,1,90,1,1,1,28,3,41
01-03-2017,1,90,1,1,2,49,3,5
01-03-2017,1,90,1,2,2,24,2,4
01-03-2017,1,90,4,1,1,32,3,7
01-03-2017,1,90,4,2,2,1,3,6
01-03-2017,1,90,4,5,2,12,3,1
01-03-2017,1,90,4,9,-1,32,3,1
01-03-2017,1,90,7,9,1,13,2,1
01-03-2017,1,40,1,1,1,1,3,1
01-03-2017,1,40,1,1,2,5,3,1
01-03-2017,1,40,1,2,2,42,3,2
01-03-2017,1,40,4,1,2,10,3,1
01-03-2017,1,50,1,1,2,15,3,1
01-03-2017,1,50,6,1,1,9,3,2
01-03-2017,1,60,1,1,1,5,3,2
01-03-2017,1,60,1,1,2,44,3,2
01-03-2017,1,60,1,2,2,46,3,1
01-03-2017,1,60,4,2,5,9,3,1
01-03-2017,1,60,6,1,2,37,3,1
01-03-2017,1,60,6,2,2,4,3,2
01-03-2017,1,40,4,1,2,7,3,1
01-03-2017,1,20,4,9,-1,31,3,1
01-03-2017,1,90,1,1,1,29,3,2
01-03-2017,1,90,1,1,2,11,2,2
01-03-2017,1,90,1,9,-1,32,2,1
01-03-2017,1,90,4,9,-1,49,3,1
01-03-2017,1,90,7,9,-1,34,3,1
01-03-2017,2,20,1,1,1,24,3,1
01-03-2017,2,90,1,1,1,14,3,7
01-03-2017,2,90,1,1,2,1,3,1
01-03-2017,2,90,1,2,2,37,3,1
01-03-2017,2,90,4,1,2,19,3,1
01-03-2017,2,90,4,2,2,10,3,3
01-03-2017,2,90,5,1,2,17,2,1
01-03-2017,2,40,1,1,1,30,3,1
01-03-2017,2,40,4,2,2,2,3,1
01-03-2017,2,50,1,1,1,49,3,1
01-03-2017,2,70,1,1,1,30,3,1
01-03-2017,2,20,4,2,2,23,3,1
01-03-2017,2,90,1,1,1,32,3,2
01-03-2017,2,90,4,1,1,19,3,1
01-03-2017,2,90,1,1,1,6,2,8
01-03-2017,2,90,1,2,2,46,3,1
01-03-2017,2,90,4,1,1,26,3,2
01-03-2017,2,90,4,1,2,11,3,3
01-03-2017,2,90,4,2,2,17,3,2
01-03-2017,2,90,4,9,2,42,3,1
01-03-2017,2,40,1,1,1,33,3,3
01-03-2017,2,40,1,9,2,29,3,1
01-03-2017,2,40,4,1,1,7,3,1
01-03-2017,2,40,4,2,2,34,2,1
01-03-2017,2,50,1,1,1,4,2,1
01-03-2017,2,50,1,1,2,18,3,1
01-03-2017,2,50,4,1,1,23,3,1
01-03-2017,2,50,5,1,2,45,3,1
01-03-2017,2,50,6,1,2,39,3,1
01-03-2017,2,60,7,1,1,19,3,1
01-03-2017,2,70,1,1,1,43,2,3
01-03-2017,2,70,1,1,2,24,3,1
01-03-2017,2,70,1,2,1,8,3,1
01-03-2017,2,70,4,4,1,15,3,1
01-03-2017,2,20,1,1,1,47,3,3
01-03-2017,2,20,1,1,2,24,3,1
01-03-2017,2,20,4,1,1,19,3,3
01-03-2017,2,20,4,1,2,17,3,1
01-03-2017,2,20,4,2,2,3,3,3
01-03-2017,2,20,5,1,2,21,2,1
01-03-2017,2,90,1,1,1,25,2,56
01-03-2017,2,90,1,1,2,38,3,14
01-03-2017,2,90,1,1,4,37,3,1
01-03-2017,2,90,1,2,2,22,3,1
01-03-2017,2,90,1,8,1,15,3,1
01-03-2017,2,90,1,9,1,22,2,2
01-03-2017,2,90,1,9,2,46,3,1
01-03-2017,2,90,4,1,1,33,3,8
01-03-2017,2,90,4,1,2,5,3,3
01-03-2017,2,90,4,2,2,5,3,17
01-03-2017,2,90,4,4,1,39,3,1
01-03-2017,2,90,4,5,2,46,3,2
01-03-2017,2,90,4,9,1,36,3,2
01-03-2017,2,90,6,1,2,10,3,1
01-03-2017,2,90,7,1,1,4,3,4
01-03-2017,2,40,1,1,1,48,3,8
01-03-2017,2,40,1,2,2,46,3,2
01-03-2017,2,40,1,9,1,14,3,1
01-03-2017,2,40,5,1,1,8,3,1
01-03-2017,2,50,6,1,1,49,3,1
01-03-2017,2,60,1,1,1,2,3,11
01-03-2017,2,60,1,1,2,26,3,3
01-03-2017,2,60,1,1,4,35,3,1
01-03-2017,2,60,1,2,2,26,3,1
01-03-2017,2,60,6,1,1,25,3,1
01-03-2017,2,60,6,9,2,24,3,1
01-03-2017,2,60,1,1,1,34,3,2
01-03-2017,2,90,1,1,1,24,3,2
01-03-2017,2,90,1,9,-1,25,3,1
01-03-2017,2,90,4,9,-1,31,3,1
01-03-2017,3,90,1,1,1,18,3,1
01-03-2017,3,50,6,2,2,39,3,1
01-03-2017,3,60,1,1,1,17,3,2
01-03-2017,3,70,1,1,1,20,3,2
01-03-2017,3,70,1,1,2,1,3,1
01-03-2017,3,70,4,2,2,24,3,1
01-03-2017,3,90,1,1,1,44,3,2
01-03-2017,3,90,1,2,2,33,2,2
01-03-2017,3,90,4,1,1,34,3,2
01-03-2017,3,90,4,1,2,10,3,1
01-03-2017,3,40,1,1,1,8,2,2
01-03-2017,3,50,6,2,2,38,3,1
01-03-2017,3,60,1,1,1,48,2,3
01-03-2017,3,60,1,1,2,37,3,1
01-03-2017,3,70,1,1,1,21,3,1
01-03-2017,4,90,1,1,1,50,3,1
01-03-2017,4,50,1,1,1,43,3,1
01-03-2017,4,60,1,1,1,10,3,1
01-03-2017,5,40,4,1,1,22,3,1
01-03-2017,5,50,6,1,2,50,3,1
01-03-2017,6,90,4,1,2,24,3,1
01-04-2017,1,90,1,1,1,13,3,1
01-04-2017,1,40,1,1,1,19,3,1
01-04-2017,1,70,1,1,1,49,2,1
01-04-2017,1,70,7,1,1,12,3,1
01-04-2017,1,20,1,1,1,19,3,1
01-04-2017,1,90,4,1,2,16,3,1
01-04-2017,1,90,7,2,2,20,3,1
01-04-2017,1,60,1,1,1,47,2,1
01-04-2017,1,90,1,1,1,28,3,5
01-04-2017,1,90,4,1,1,29,3,1
01-04-2017,1,90,4,5,2,49,3,1
01-04-2017,1,90,4,8,2,1,3,1
01-04-2017,1,40,1,1,1,21,3,1
01-04-2017,1,40,1,9,1,10,3,1
01-04-2017,1,70,1,1,1,14,3,1
01-04-2017,1,70,6,1,1,5,3,1
01-04-2017,1,20,1,1,1,24,3,5
01-04-2017,1,20,1,9,-1,23,3,1
01-04-2017,1,20,4,1,1,48,3,3
01-04-2017,1,20,7,1,1,24,3,3
01-04-2017,1,90,1,1,1,27,3,27
01-04-2017,1,90,1,2,2,50,3,1
01-04-2017,1,90,4,1,1,34,3,6
01-04-2017,1,90,4,1,2,12,3,1
01-04-2017,1,90,4,2,2,29,3,2
01-04-2017,1,90,6,1,2,11,3,1
01-04-2017,1,90,7,1,1,27,3,1
01-04-2017,1,90,7,8,1,20,2,1
01-04-2017,1,90,7,9,-1,36,3,1
01-04-2017,1,40,4,1,1,35,3,1
01-04-2017,1,40,6,1,1,48,3,2
01-04-2017,1,50,4,1,1,15,3,2
01-04-2017,1,50,6,1,1,13,3,2
01-04-2017,1,60,1,1,1,44,2,5
01-04-2017,1,60,1,1,2,41,3,1
01-04-2017,1,60,1,2,2,28,3,1
01-04-2017,1,60,1,2,5,21,3,1
01-04-2017,1,60,1,9,1,39,3,1
01-04-2017,1,60,6,1,1,4,3,4
01-04-2017,1,60,6,1,2,1,3,1
01-04-2017,1,60,6,2,2,28,2,1
01-04-2017,1,20,1,1,1,20,3,1
01-04-2017,1,20,1,9,-1,7,3,1
01-04-2017,1,90,1,9,-1,15,2,1
01-04-2017,2,90,1,1,1,44,2,6
01-04-2017,2,90,1,1,2,26,3,1
01-04-2017,2,90,1,2,2,21,3,2
01-04-2017,2,40,1,1,1,12,3,1
01-04-2017,2,40,1,2,2,44,3,1
01-04-2017,2,40,4,1,1,42,2,1
01-04-2017,2,50,1,1,1,17,3,1
01-04-2017,2,50,4,8,2,48,2,1
01-04-2017,2,60,1,1,1,25,3,1
01-04-2017,2,70,1,1,1,18,3,1
01-04-2017,2,70,1,2,2,36,3,1
01-04-2017,2,70,4,1,1,2,3,1
01-04-2017,2,20,1,1,1,11,3,1
01-04-2017,2,90,1,2,2,5,3,1
01-04-2017,2,90,1,1,1,38,3,12
01-04-2017,2,90,1,1,2,18,3,1
01-04-2017,2,90,4,1,1,50,3,5
01-04-2017,2,90,4,9,1,50,3,1
01-04-2017,2,40,1,1,1,3,3,4
01-04-2017,2,40,4,1,1,22,3,2
01-04-2017,2,50,1,1,1,37,3,2
01-04-2017,2,50,4,1,1,15,3,1
01-04-2017,2,60,1,1,1,27,3,1
01-04-2017,2,70,1,1,1,20,3,6
01-04-2017,2,70,1,2,2,19,3,1
01-04-2017,2,70,4,9,1,20,3,1
01-04-2017,2,70,7,1,1,16,3,1
01-04-2017,2,20,1,1,1,29,3,5
01-04-2017,2,20,1,1,2,38,1,1
01-04-2017,2,20,4,1,1,20,2,4
01-04-2017,2,90,1,1,1,3,3,63
01-04-2017,2,90,1,1,2,7,3,7
01-04-2017,2,90,1,2,2,25,1,6
01-04-2017,2,90,1,9,-1,16,3,1
01-04-2017,2,90,1,9,1,23,3,1
01-04-2017,2,90,4,1,1,44,3,16
01-04-2017,2,90,4,1,2,18,3,1
01-04-2017,2,90,6,1,1,17,3,2
01-04-2017,2,90,7,1,1,45,3,1
01-04-2017,2,40,1,1,1,20,3,5
01-04-2017,2,40,1,9,1,12,3,1
01-04-2017,2,50,1,1,1,4,2,2
01-04-2017,2,50,6,1,1,15,3,1
01-04-2017,2,60,1,1,1,13,3,9
01-04-2017,2,60,1,1,2,4,3,1
01-04-2017,2,60,1,2,2,42,3,1
01-04-2017,2,60,6,1,1,10,3,1
01-04-2017,2,90,1,1,1,39,2,2
01-04-2017,2,70,1,8,2,18,2,1
01-04-2017,3,90,4,1,1,17,3,1
01-04-2017,3,50,6,1,1,3,3,1
01-04-2017,3,60,1,1,1,45,3,1
01-04-2017,3,70,1,1,1,1,3,2
01-04-2017,3,70,4,1,1,22,3,1
01-04-2017,3,20,1,1,1,29,3,2
01-04-2017,3,90,1,1,1,40,3,11
01-04-2017,3,90,4,1,1,22,3,2
01-04-2017,3,40,1,1,1,10,3,2
01-04-2017,3,60,1,2,2,24,3,1
01-04-2017,3,70,1,1,1,35,3,1
01-04-2017,4,70,1,1,1,27,3,1
01-04-2017,4,90,1,1,1,46,1,2
01-04-2017,4,50,1,1,1,48,3,1
01-04-2017,4,60,1,1,1,26,2,1
01-04-2017,4,60,1,2,2,38,2,1
01-04-2017,4,70,1,1,1,11,2,1
01-04-2017,5,90,1,1,1,24,3,1
01-04-2017,5,90,4,1,1,25,3,1
01-04-2017,5,50,1,1,1,37,3,1
01-04-2017,6,90,1,9,1,33,2,1
01-05-2017,1,90,1,1,1,47,3,1
01-05-2017,1,60,1,2,2,43,3,1
01-05-2017,1,20,4,2,2,41,3,1
01-05-2017,1,90,4,2,2,39,3,1
01-05-2017,1,90,1,1,1,36,3,3
01-05-2017,1,90,1,2,2,48,3,2
01-05-2017,1,90,4,1,1,23,2,1
01-05-2017,1,40,4,1,1,43,3,1
01-05-2017,1,60,1,1,1,24,2,1
01-05-2017,1,60,6,1,1,15,2,1
01-05-2017,1,70,1,1,2,41,1,1
01-05-2017,1,70,1,2,2,49,3,2
01-05-2017,1,70,7,1,1,13,3,1
01-05-2017,1,20,1,1,1,20,3,3
01-05-2017,1,20,5,8,2,28,3,1
01-05-2017,1,90,1,1,1,34,3,17
01-05-2017,1,90,1,1,2,9,3,4
01-05-2017,1,90,1,2,2,1,3,3
01-05-2017,1,90,1,8,1,23,3,1
01-05-2017,1,90,4,1,1,9,3,3
01-05-2017,1,90,4,1,2,19,3,1
01-05-2017,1,90,6,1,1,3,3,1
01-05-2017,1,90,7,1,1,13,2,1
01-05-2017,1,90,7,9,1,22,3,1
01-05-2017,1,40,1,1,1,15,3,2
01-05-2017,1,40,4,1,1,13,2,1
01-05-2017,1,40,4,1,2,41,3,1
01-05-2017,1,50,1,1,1,33,3,1
01-05-2017,1,60,1,1,1,21,3,6
01-05-2017,1,60,4,2,2,33,3,1
01-05-2017,1,60,6,1,1,15,3,1
01-05-2017,1,60,6,1,2,49,3,1
01-05-2017,1,60,6,2,2,18,3,1
01-05-2017,1,40,4,1,1,35,3,1
01-05-2017,1,90,1,9,-1,3,3,1
01-05-2017,2,90,1,1,1,49,3,4
01-05-2017,2,90,1,8,1,33,3,1
01-05-2017,2,40,1,1,1,6,3,4
01-05-2017,2,40,4,2,2,5,3,1
01-05-2017,2,50,1,1,1,8,3,1
01-05-2017,2,70,1,1,1,50,3,1
01-05-2017,2,20,1,2,2,17,3,1
01-05-2017,2,90,1,1,1,20,3,3
01-05-2017,2,90,4,1,1,21,3,1
01-05-2017,2,90,4,2,2,16,3,1
01-05-2017,2,20,1,1,1,48,3,1
01-05-2017,2,20,1,1,2,39,3,1
01-05-2017,2,90,1,1,1,33,3,1
01-05-2017,2,90,1,1,2,18,3,1
01-05-2017,2,90,1,2,2,26,2,1
01-05-2017,2,90,4,1,1,27,3,1
01-05-2017,2,90,4,2,2,1,2,2
01-05-2017,2,40,1,1,1,29,3,1
01-05-2017,2,40,4,1,1,28,3,1
01-05-2017,2,70,1,1,1,20,2,5
01-05-2017,2,70,1,2,2,15,3,1
01-05-2017,2,70,4,1,1,9,3,1
01-05-2017,2,70,6,1,2,39,3,1
01-05-2017,2,20,1,1,1,18,3,6
01-05-2017,2,20,1,1,2,20,3,2
01-05-2017,2,20,4,1,1,23,3,1
01-05-2017,2,20,7,9,1,20,3,1
01-05-2017,2,90,1,1,1,10,3,40
01-05-2017,2,90,1,1,2,23,2,10
01-05-2017,2,90,1,2,2,19,3,2
01-05-2017,2,90,1,8,2,20,3,1
01-05-2017,2,90,1,9,1,33,3,2
01-05-2017,2,90,4,1,1,24,3,9
01-05-2017,2,90,4,1,2,5,3,2
01-05-2017,2,90,4,2,2,48,3,6
01-05-2017,2,90,6,1,1,42,2,1
01-05-2017,2,90,7,1,1,27,3,2
01-05-2017,2,40,1,1,1,49,3,3
01-05-2017,2,40,1,2,2,34,3,1
01-05-2017,2,50,1,1,1,22,3,4
01-05-2017,2,50,7,9,1,21,3,1
01-05-2017,2,60,1,1,1,22,3,17
01-05-2017,2,60,1,1,2,50,3,2
01-05-2017,2,60,1,2,2,11,2,1
01-05-2017,2,60,4,1,1,21,3,1
01-05-2017,2,60,6,1,1,14,3,1
01-05-2017,2,60,6,2,2,22,3,1
